epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.804,1.85479,2.31661,1.16434,0.89448,0.69127,0.73613,0.37788,1.56672,1.2066,1.01168,0.000367944,0.000367944,0.000367944
2,159.226,1.53439,1.1636,1.03466,0.89384,0.73255,0.78185,0.41323,1.46847,0.98793,1.0084,0.00072366,0.00072366,0.00072366
3,229.919,1.48073,1.04141,1.01746,0.71884,0.77248,0.79387,0.44831,1.40697,0.89022,0.98322,0.00106471,0.00106471,0.00106471
4,301.002,1.43287,0.9456,0.99599,0.85798,0.81626,0.85056,0.49154,1.38237,0.81166,0.9861,0.00104501,0.00104501,0.00104501
5,370.873,1.39808,0.89414,0.98818,0.94851,0.81896,0.86653,0.48575,1.41346,0.79695,0.98352,0.00102301,0.00102301,0.00102301
6,440.22,1.37168,0.84988,0.98679,0.85886,0.89903,0.87723,0.51671,1.31289,0.77265,0.96687,0.00100101,0.00100101,0.00100101
7,509.905,1.34143,0.80173,0.97723,0.85292,0.83495,0.85181,0.51044,1.31641,0.74297,0.95426,0.000979013,0.000979013,0.000979013
8,578.771,1.33812,0.79647,0.97309,0.82851,0.85696,0.87027,0.53353,1.30409,0.71013,0.95036,0.000957015,0.000957015,0.000957015
9,648.356,1.28882,0.75292,0.95953,0.754,0.82307,0.81116,0.48677,1.32756,0.69348,0.98355,0.000935018,0.000935018,0.000935018
10,720.201,1.2885,0.73478,0.95644,0.87033,0.8896,0.91193,0.55685,1.29205,0.69418,0.95467,0.00091302,0.00091302,0.00091302
11,790.203,1.26781,0.71699,0.95012,0.90486,0.91683,0.92228,0.57574,1.28758,0.7002,0.95942,0.000891022,0.000891022,0.000891022
12,860.275,1.26084,0.70841,0.95072,0.90699,0.92751,0.92628,0.57375,1.25341,0.64022,0.93043,0.000869024,0.000869024,0.000869024
13,929.335,1.24673,0.69147,0.94863,0.87344,0.92433,0.88028,0.57443,1.16177,0.63069,0.91794,0.000847026,0.000847026,0.000847026
14,1000.03,1.23589,0.67315,0.94263,0.88806,0.8907,0.89438,0.59451,1.13153,0.60746,0.91259,0.000825029,0.000825029,0.000825029
15,1075.73,1.24538,0.67553,0.9463,0.94261,0.92372,0.93549,0.62703,1.12384,0.60303,0.91058,0.000803031,0.000803031,0.000803031
16,1153.5,1.20384,0.65744,0.93855,0.93634,0.89336,0.9179,0.63055,1.14111,0.62168,0.91612,0.000781033,0.000781033,0.000781033
17,1231.31,1.18391,0.64112,0.93077,0.87976,0.89603,0.88824,0.59597,1.09817,0.5983,0.90562,0.000759035,0.000759035,0.000759035
18,1305.02,1.18961,0.65164,0.93474,0.89274,0.87192,0.8837,0.57448,1.20712,0.61072,0.94317,0.000737037,0.000737037,0.000737037
19,1376.61,1.16873,0.63071,0.93175,0.92798,0.95728,0.94823,0.67578,1.07266,0.56362,0.89592,0.00071504,0.00071504,0.00071504
20,1447.81,1.16002,0.62019,0.92355,0.93637,0.9237,0.94518,0.65412,1.05769,0.56147,0.89377,0.000693042,0.000693042,0.000693042
21,1517.78,1.14962,0.6115,0.9254,0.88313,0.94257,0.90492,0.6407,1.06254,0.55532,0.89309,0.000671044,0.000671044,0.000671044
22,1587.9,1.12075,0.60096,0.91759,0.89264,0.92509,0.91921,0.63791,1.06632,0.562,0.9072,0.000649046,0.000649046,0.000649046
23,1663.9,1.13504,0.61043,0.92393,0.9816,0.9032,0.94158,0.67394,1.05306,0.54924,0.89135,0.000627048,0.000627048,0.000627048
24,1734.88,1.11948,0.59817,0.9204,0.94202,0.958,0.9463,0.68211,1.0164,0.54987,0.88984,0.000605051,0.000605051,0.000605051
25,1805.21,1.11397,0.59009,0.91979,0.91389,0.9367,0.94373,0.66329,1.0697,0.54353,0.89421,0.000583053,0.000583053,0.000583053
